age,monthly_income,debt_to_income_ratio,credit_utilization,number_of_existing_loans,years_in_job,credit_history_length,repayment_history_score,loan_amount,loan_tenure,account_balance,income_stability_score,pd_score,default
50,163694,0.22906197801123698,0.43390730008183076,2,13,8,0.8992125394866217,1049890,28,97498,0.8666666666666667,1.0,1
45,101090,0.4937021085552098,0.2169234737081301,2,8,10,0.9304996930667062,1297617,26,224176,0.5333333333333333,1.0,1
46,55658,0.13840392601756646,0.4529847965068651,1,3,7,0.8932923543227154,323538,42,13890,0.2,1.0,1
39,70627,0.238977808972287,0.4896896099223678,1,11,7,0.9520993370291153,118148,7,134243,0.7333333333333333,0.3512262359223435,0
29,110077,0.039765846496050604,0.40351199264000676,2,1,2,0.7650089137415927,258261,59,181829,0.06666666666666667,0.49268184638251544,0
55,57065,0.4960907921253234,0.0,0,3,0,0.8391599915244341,537879,19,267750,0.2,0.6023268870203006,1
42,53247,0.2975337577703908,0.5158768529556319,1,2,1,0.7347004662655393,792139,50,246584,0.13333333333333333,0.8573610899297964,1
30,122592,0.8786016906612052,0.28804645241541144,1,14,3,0.7535199556787711,1400224,13,23986,0.9333333333333333,1.0,1
26,23561,4.19392215950087,0.0,0,1,0,0.6463476238100518,1383382,14,40535,0.06666666666666667,1.0,1
54,119135,0.35980321693876693,0.4243929286862649,3,7,3,0.6300733288106988,1371685,32,211664,0.4666666666666667,1.0,1
35,87266,0.2382335331056769,0.41651885634946195,2,3,10,0.808996229937239,665270,32,129176,0.2,1.0,1
34,174238,0.161051468188832,0.3426110669546335,2,9,11,0.8908188929940959,785716,28,212982,0.6,0.752039167314321,1
34,122623,0.23975029154400074,0.28692543587413044,2,9,6,0.7903053218135011,1469945,50,119556,0.6,1.0,1
41,78925,0.29119417168197653,0.6584365199693972,1,7,4,0.6272013899887455,735440,32,147848,0.4666666666666667,1.0,1
24,165830,0.0299980186249257,0.3532241907732697,1,8,8,0.8543527507871947,278576,56,23545,0.5333333333333333,1.0,1
53,50303,0.2842480450820966,0.7615344684232164,3,0,2,0.32595689884359264,243075,17,75318,0.0,1.0,1
58,40080,0.9811840604505275,0.0,0,0,0,0.706712405710114,275281,7,122859,0.0,0.8391038162703616,1
58,98623,0.29021922191152816,0.39030540341040915,1,3,6,0.9201763628886916,887291,31,245167,0.2,0.8439587106825007,1
25,112662,0.45363920399069785,0.3108963368184213,2,13,6,0.8105399845693565,511079,10,116081,0.8666666666666667,0.9165742065061735,1
37,85184,0.10363648961902842,0.29623401949152073,1,11,3,0.7966296275999636,361955,41,44754,0.7333333333333333,1.0,1
28,143763,1.5903848695422327,0.4072813214307398,2,11,9,0.8466838365751344,1371831,6,142874,0.7333333333333333,1.0,1
44,81918,0.2266363496573167,0.2773824883145467,2,12,1,0.9149960115085447,1058239,57,143121,0.8,1.0,1
33,80932,0.22138029456827954,0.4647909029568019,1,7,3,0.7971767770853448,430002,24,25151,0.4666666666666667,1.0,1
54,32183,0.4399442252120685,0.9742539976883791,5,2,9,0.6141362604455773,566349,40,143629,0.13333333333333333,1.0,1
50,22961,1.7244022472888811,0.0,0,1,0,0.7942455014344907,831474,21,122296,0.06666666666666667,1.0,1
25,83328,0.7341919882872504,0.25364681276639867,2,7,1,0.841617196145715,489430,8,96416,0.4666666666666667,1.0,1
43,49830,0.9392478175797713,0.3975958573516334,1,6,5,0.8892042219009783,1497687,32,59377,0.4,1.0,1
49,69790,0.36693616563977643,0.3780971951192178,3,1,1,0.7889808461046022,1024339,40,115983,0.06666666666666667,1.0,1
51,63484,0.21400806873061112,0.9659457560881795,2,1,5,0.4480634801021777,461927,34,141373,0.06666666666666667,0.9978905653774063,1
54,95726,0.13811113059102564,0.3763644124601384,3,5,10,0.6073899427560627,304079,23,175656,0.3333333333333333,0.554892522044838,1
24,54663,2.9182601968947393,0.6388705975083074,3,1,11,0.5460028906796679,1116646,7,66958,0.06666666666666667,1.0,1
47,126320,0.09724462615952016,0.4091047222985804,2,10,7,0.9256210209967773,417654,34,15801,0.6666666666666666,1.0,1
46,40647,0.3144543865717123,0.5006065178748798,1,7,3,0.8193180715867101,651863,51,80031,0.4666666666666667,1.0,1
49,92097,0.47953626993117965,0.33154223690542606,1,4,10,0.9180065338237998,1192424,27,65609,0.26666666666666666,1.0,1
27,113006,0.05444012905942867,0.36112472815899666,2,8,5,0.8316628104490102,301451,49,189819,0.5333333333333333,0.43043772960362525,0
27,96412,0.29404325055325503,0.4645415620226714,1,4,1,0.7798048843068776,1332417,47,232866,0.26666666666666666,1.0,1
40,88251,0.5530770998952663,0.2235369144026798,1,12,5,0.7563376858538644,1366669,28,230552,0.8,1.0,1
22,106175,0.18999719690089364,0.41437877681001867,1,8,5,0.9150493441794328,423632,21,39375,0.5333333333333333,1.0,1
24,115067,0.051652515490974826,0.6031384441857477,2,3,1,0.5057573954519023,59435,10,185150,0.2,0.403123203112729,0
26,155435,0.26052102624431894,0.42900932690117327,2,12,10,0.9517282442626949,1417293,35,298790,0.8,0.9151264254221065,1
26,98385,0.5454202029442158,0.4498450458505885,2,4,4,0.7503439662856946,321967,6,19540,0.26666666666666666,1.0,1
37,60977,0.25299703166767795,0.6468795734220014,2,1,3,0.7545614389784046,586226,38,14000,0.06666666666666667,1.0,1
33,60770,0.13081872908781747,0.0,0,0,0,0.9844762255295657,381593,48,161836,0.0,0.5460330914167333,0
52,63373,0.2782958227710632,0.2116889396930701,1,4,10,0.9045634710844732,599639,34,124585,0.26666666666666666,0.9768717651994674,1
55,117458,0.11023301946227587,0.34881123628802185,2,11,8,0.9232225896729849,207164,16,141484,0.7333333333333333,0.3778193982461161,0
42,43548,1.005530842813841,0.0,0,0,0,0.8191887532992349,613044,14,176807,0.0,1.0,1
56,40463,0.1647030219800405,0.0,0,3,0,0.7488072343171133,246582,37,229798,0.2,0.38060446823802424,0
58,64811,0.20480121319793598,0.8719379119600983,4,0,4,0.5959635041789497,464568,35,120448,0.0,1.0,1
43,73644,0.9409616054340916,0.0,0,2,0,0.6399939548647453,1178035,17,205004,0.13333333333333333,1.0,1
33,24360,0.7030203991410887,0.9827203540505826,5,2,5,0.5707079617697213,890530,52,149407,0.13333333333333333,1.0,1
33,149112,0.037765236868930734,0.4017555368231115,1,6,5,0.93809363235942,247775,44,94076,0.4,0.5891239756148863,1
35,39348,0.38834332960590967,0.6550816731033199,2,3,1,0.6403660050208315,229208,15,223945,0.2,0.592970642871307,1
28,81677,0.6945810938207819,0.22182890190925808,2,10,5,0.955465014822589,567313,10,98092,0.6666666666666666,1.0,1
29,73807,0.20118416952321594,0.464107990591525,1,3,3,0.8091712984205197,742440,50,176981,0.2,0.940593021538513,1
48,45289,1.4533379456870812,0.0,0,1,0,0.7321010116076394,1184764,18,227841,0.06666666666666667,1.0,1
41,85771,0.19791093164960788,0.34701049871084194,1,8,8,0.7596841208464254,916651,54,33960,0.5333333333333333,1.0,1
27,97641,0.07930761667742035,0.3173603133192691,1,5,9,0.8698573320894385,309747,40,285987,0.3333333333333333,0.37575441809689214,0
35,82638,0.1554793194414192,0.5510232320336254,3,1,8,0.7337257247692401,205576,16,21023,0.06666666666666667,1.0,1
45,126203,0.059668225722915386,0.2832143548943398,2,7,4,0.7970302899309403,414167,55,137016,0.4666666666666667,0.6485485362471884,1
38,58088,0.1270524415063735,0.7644826883488745,5,0,3,0.5411127528093194,132844,18,175421,0.0,0.5463820853976313,0
39,76178,1.07471886021336,0.0,0,4,0,0.845366078374316,1228049,15,236156,0.26666666666666666,1.0,1
54,121813,0.09193791576706373,0.3441110245599064,1,3,11,0.996321512666376,335977,30,292453,0.2,0.38946227491360813,0
34,40384,1.3241465266772319,0.0,0,1,0,0.6147287470543965,320846,6,10404,0.06666666666666667,1.0,1
27,72763,0.5640563001996698,0.36030388250883894,1,3,5,0.9374776873674929,1149188,28,295668,0.2,0.9567928606832984,1
31,33456,2.349108613635156,0.7802176541240374,4,0,1,0.35166376606059796,1414652,18,31949,0.0,1.0,1
53,46657,0.6643445266657771,0.0,0,3,0,0.707468992810123,960886,31,199089,0.2,1.0,1
24,62049,1.024370768556815,0.5207627355097941,2,1,7,0.7243751886141545,1398346,22,291342,0.06666666666666667,1.0,1
42,32173,1.0265823068454771,0.0,0,1,0,0.9220178670077448,1420214,43,88587,0.06666666666666667,1.0,1
55,28017,0.4369996289628141,0.8219262434168902,3,1,7,0.3364008364205321,526467,43,260875,0.06666666666666667,0.8709160282153487,1
38,69811,0.356517141737236,0.6368365660074838,1,8,2,0.807567096526159,273777,11,286532,0.5333333333333333,0.48613127155265584,0
32,176594,0.19334017172562082,0.3380357476950716,1,11,4,0.8961915264872884,716997,21,34071,0.7333333333333333,1.0,1
46,143807,0.28360290760069634,0.35457081645926325,1,5,5,0.9932775873175261,978818,24,67108,0.3333333333333333,1.0,1
43,139252,0.14704737472812618,0.23619076133018024,2,8,11,0.8651946920081814,798589,39,101865,0.5333333333333333,1.0,1
43,70478,0.32487465775181273,0.4620735872320332,1,10,1,0.9802181001329533,709792,31,74291,0.6666666666666666,1.0,1
56,110428,0.3617493576313628,0.2628047970010131,2,6,8,0.8426180256978455,1238365,31,83686,0.4,1.0,1
47,24621,0.5549374673902516,0.0,0,2,0,0.7009747777376083,710482,52,48638,0.13333333333333333,1.0,1
39,165977,0.06910509975994952,0.35978517993650694,1,8,10,0.8106176259086824,481734,42,151339,0.5333333333333333,0.6780336544510072,1
38,36229,0.31023069436327133,0.656210912295958,2,9,2,0.7374369814216195,517010,46,135036,0.6,0.9111221498042428,1
43,139905,0.07027217448574798,0.3759606303982277,2,10,4,0.8911146356306603,412920,42,204053,0.6666666666666666,0.4715881502495157,0
55,105703,0.9115936332760832,0.5423099277427548,2,6,7,0.5948907166943977,1059940,11,11605,0.4,1.0,1
51,86138,0.20800059852278385,0.6587061698505701,3,8,4,0.5320934982646569,806254,45,276468,0.5333333333333333,0.795160907667897,1
27,61427,0.06141568683720249,0.9462028503575921,2,2,9,0.6268288283797119,162221,43,285378,0.13333333333333333,0.49756559519719146,0
32,33703,0.1795006283541333,0.0,0,1,0,0.7119916374641136,187541,31,74323,0.06666666666666667,0.6299453489850011,1
54,75587,0.08983426152091491,0.5119360092724466,2,1,11,0.7828920382577778,291983,43,273972,0.06666666666666667,0.4726195333615403,0
34,67362,0.13726657492960667,0.7476921926039585,2,0,2,0.48170718888763986,453081,49,15287,0.0,1.0,1
58,168872,0.14717034203420343,0.2350088192425044,2,3,1,0.8682915502629731,994118,40,52078,0.2,1.0,1
35,21908,0.8344065080234516,0.9753361827284152,4,2,6,0.37249322646626404,822608,45,177231,0.13333333333333333,1.0,1
50,68007,0.3232062245693195,0.43858019355796707,2,13,10,0.8004068300119361,923172,42,165002,0.8666666666666667,1.0,1
46,34060,0.5967866579984901,0.7569780429690541,4,1,1,0.6266397757886308,1138287,56,228134,0.06666666666666667,1.0,1
54,71246,0.3099127734124787,0.35955724390645216,2,9,6,0.7666547780977042,971522,44,51157,0.6,1.0,1
29,156809,0.16285431784701598,0.4382075567810888,2,6,4,0.9050181889821284,1123629,44,141994,0.4,1.0,1
